F_Id,F_ParentId,F_Layers,F_EnCode,F_FullName,F_SimpleSpelling,F_SortCode,F_DeleteMark,F_EnabledMark,F_Description,F_CreateTime,F_CreatorUserId,F_LastModifyTime,F_LastModifyUserId,F_DeleteTime,F_DeleteUserId
530100,530000,2,530100,昆明市,kms,530100,,TRUE,,2016/7/20 0:00,,,,,
530300,530000,2,530300,曲靖市,qjs,530300,,TRUE,,2016/7/20 0:00,,,,,
530400,530000,2,530400,玉溪市,yxs,530400,,TRUE,,2016/7/20 0:00,,,,,
530500,530000,2,530500,保山市,bss,530500,,TRUE,,2016/7/20 0:00,,,,,
530600,530000,2,530600,昭通市,zts,530600,,TRUE,,2016/7/20 0:00,,,,,
530700,530000,2,530700,丽江市,ljs,530700,,TRUE,,2016/7/20 0:00,,,,,
530800,530000,2,530800,普洱市,pes,530800,,TRUE,,2016/7/20 0:00,,,,,
530900,530000,2,530900,临沧市,lcs,530900,,TRUE,,2016/7/20 0:00,,,,,
532300,530000,2,532300,楚雄彝族自治州,cxyzzzz,532300,,TRUE,,2016/7/20 0:00,,,,,
532500,530000,2,532500,红河哈尼族彝族自治州,hhhnzyzzzz,532500,,TRUE,,2016/7/20 0:00,,,,,
532600,530000,2,532600,文山壮族苗族自治州,wszzmzzzz,532600,,TRUE,,2016/7/20 0:00,,,,,
532800,530000,2,532800,西双版纳傣族自治州,xsbndzzzz,532800,,TRUE,,2016/7/20 0:00,,,,,
532900,530000,2,532900,大理白族自治州,dlbzzzz,532900,,TRUE,,2016/7/20 0:00,,,,,
533100,530000,2,533100,德宏傣族景颇族自治州,dhdzjpzzzz,533100,,TRUE,,2016/7/20 0:00,,,,,
533300,530000,2,533300,怒江傈僳族自治州,njlszzzz,533300,,TRUE,,2016/7/20 0:00,,,,,
533400,530000,2,533400,迪庆藏族自治州,dqzzzzz,533400,,TRUE,,2016/7/20 0:00,,,,,
540100,540000,2,540100,拉萨市,lss,540100,,TRUE,,2016/7/20 0:00,,,,,
542100,540000,2,542100,昌都地区,cddq,542100,,TRUE,,2016/7/20 0:00,,,,,
542200,540000,2,542200,山南地区,sndq,542200,,TRUE,,2016/7/20 0:00,,,,,
542300,540000,2,542300,日喀则地区,rkzdq,542300,,TRUE,,2016/7/20 0:00,,,,,
542400,540000,2,542400,那曲地区,nqdq,542400,,TRUE,,2016/7/20 0:00,,,,,
542500,540000,2,542500,阿里地区,aldq,542500,,TRUE,,2016/7/20 0:00,,,,,
542600,540000,2,542600,林芝地区,lzdq,542600,,TRUE,,2016/7/20 0:00,,,,,
610100,610000,2,610100,西安市,xas,610100,,TRUE,,2016/7/20 0:00,,,,,
610200,610000,2,610200,铜川市,tcs,610200,,TRUE,,2016/7/20 0:00,,,,,
